"id";"firstname";"lastname";"address";"zipcode";"city";"phone";"birthdate";"mark";"date_registration";"email";"password";"web";"github";"roles";"identity";"adress_pro";"zipcode_pro";"city_pro";"phone_pro";"web_pro";"siret";"siren";"nic";"ape_code";"section_id";"school";"formation";"email_pro";"connect";"departement";"code_departement";"region";"activite";"ape_name";"user_id";"photo_profile_id";"langages";"framework"
"1";"Elodie";"CHARTEAU";NULL;NULL;NULL;"06 28 54 71 07";"1987-02-03";NULL;"2019-08-21 10:56:01";"e.charteau@wf3.fr";"$argon2id$v=19$m=65536,t=4,p=1$ZVE5d0p6N0EyelRsdTB5Uw$IJ3hjf+7mrtHSgRO53U2xZX4/UiDEJZ7eDI/59mJzos";NULL;NULL;"[""ROLE_SCHOOL""]";"WEBFORCE3 TOULOUSE";"204 RTE DE SEYSSES";"31100";"TOULOUSE";"0561000000";"www.wf3.fr";"84405715800033";"844057158";"33";"85.59A";NULL;NULL;NULL;"contact@wf3.fr";NULL;"HAUTE-GARONNE";"31";"LANGUEDOC-ROUSSILLON-MIDI-PYRENEES";"Autres activites d'enseignement";"Formation continue d'adultes";"0";"0";NULL;NULL
"3";"Admin";NULL;NULL;NULL;NULL;NULL;"1994-06-01";NULL;"2019-10-15 10:45:25";"admin.rgb.com";"$argon2id$v=19$m=65536,t=4,p=1$ZVE5d0p6N0EyelRsdTB5Uw$IJ3hjf+7mrtHSgRO53U2xZX4/UiDEJZ7eDI/59mJzos";NULL;NULL;"[""ROLE_ADMIN""]";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"0";"0";NULL;NULL
"4";"Steve";"JOBS";NULL;"31100";"TOULOUSE";"06 11 74 72 36";"1995-03-07";NULL;"2019-05-21 10:55:23";"s.jobs@apple.com";"$argon2id$v=19$m=65536,t=4,p=1$ZVE5d0p6N0EyelRsdTB5Uw$IJ3hjf+7mrtHSgRO53U2xZX4/UiDEJZ7eDI/59mJzos";NULL;NULL;"[""ROLE_STUDENT""]";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"WEBFORCE 3 TOULOUSE";"Developpeur_Web";NULL;NULL;NULL;NULL;NULL;NULL;NULL;"4";"4";"HTML5
CSS3
JAVASCRIPT
JQUERY
PHP
POO
AJAX
";"Bootstrap
Jquery
Angular
React
Symfony
"
"5";"Thomas";"EDISON";NULL;"31700";"BLAGNAC";"06 44 04 28 53";"1980-12-12";NULL;"2019-10-15 10:55:30";"t.edison@email.fr";"$argon2id$v=19$m=65536,t=4,p=1$ZVE5d0p6N0EyelRsdTB5Uw$IJ3hjf+7mrtHSgRO53U2xZX4/UiDEJZ7eDI/59mJzos";NULL;NULL;"[""ROLE_STUDENT""]";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"WEBFORCE 3 TOULOUSE";"Developpeur_Web";NULL;NULL;NULL;NULL;NULL;NULL;NULL;"5";"5";"HTML5
CSS3
JAVASCRIPT
JQUERY
PHP
POO
AJAX
";"Bootstrap
Jquery
Angular
React
Symfony
"
"6";"Rosalie";"LAFRENIERE";NULL;"31700";"BLAGNAC";"06 84 35 58 46";"1989-06-04";NULL;"2019-12-17 10:56:21";"rosalie.lafreniere@email.fr";"$argon2id$v=19$m=65536,t=4,p=1$ZVE5d0p6N0EyelRsdTB5Uw$IJ3hjf+7mrtHSgRO53U2xZX4/UiDEJZ7eDI/59mJzos";NULL;NULL;"[""ROLE_STUDENT""]";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"WEBFORCE 3 TOULOUSE";"Developpeur_Web";NULL;NULL;NULL;NULL;NULL;NULL;NULL;"6";"6";"HTML5
CSS3
JAVASCRIPT
JQUERY
PHP
POO
AJAX
";"Bootstrap
Jquery
Angular
React
Symfony
"
"7";"Alan";"TURING";NULL;"31100";"TOULOUSE";"06 92 27 23 96";"1978-06-02";NULL;"2020-03-27 10:56:27";"alan.turing@email.fr";"$argon2id$v=19$m=65536,t=4,p=1$ZVE5d0p6N0EyelRsdTB5Uw$IJ3hjf+7mrtHSgRO53U2xZX4/UiDEJZ7eDI/59mJzos";NULL;NULL;"[""ROLE_STUDENT""]";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"WEBFORCE 3 TOULOUSE";"Developpeur_Web";NULL;NULL;NULL;NULL;NULL;NULL;NULL;"7";"7";"HTML5
CSS3
JAVASCRIPT
JQUERY
PHP
POO
AJAX
";"Bootstrap
Jquery
Angular
React
Symfony
"
"8";"Steve";"WOZNIAK";NULL;"31670";"LABEGE";"06 00 98 72 67";"1979-07-02";NULL;"2019-09-09 10:56:31";"s.wozniak@apple.com";"$argon2id$v=19$m=65536,t=4,p=1$ZVE5d0p6N0EyelRsdTB5Uw$IJ3hjf+7mrtHSgRO53U2xZX4/UiDEJZ7eDI/59mJzos";NULL;NULL;"[""ROLE_STUDENT""]";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"WEBFORCE 3 TOULOUSE";"Developpeur_Web";NULL;NULL;NULL;NULL;NULL;NULL;NULL;"8";"8";"HTML5
CSS3
JAVASCRIPT
JQUERY
PHP
POO
AJAX
";"Bootstrap
Jquery
Angular
React
Symfony
"
"9";"Johan";"JETTE";NULL;"31670";"LABEGE";"06 06 37 90 32";"1982-09-12";NULL;"2020-03-26 10:56:41";"johan.jette@email.fr";"$argon2id$v=19$m=65536,t=4,p=1$ZVE5d0p6N0EyelRsdTB5Uw$IJ3hjf+7mrtHSgRO53U2xZX4/UiDEJZ7eDI/59mJzos";NULL;NULL;"[""ROLE_STUDENT""]";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"WEBFORCE 3 TOULOUSE";"Developpeur_Web";NULL;NULL;NULL;NULL;NULL;NULL;NULL;"9";"9";"HTML5
CSS3
JAVASCRIPT
JQUERY
PHP
POO
AJAX
";"Bootstrap
Jquery
Angular
React
Symfony
"
"10";"Matthieu";"CHALOUX";NULL;"31200";"TOULOUSE";"06 81 54 52 55";"1989-11-23";NULL;"2020-02-17 10:56:45";"m.chaloux@email.fr";"$argon2id$v=19$m=65536,t=4,p=1$ZVE5d0p6N0EyelRsdTB5Uw$IJ3hjf+7mrtHSgRO53U2xZX4/UiDEJZ7eDI/59mJzos";NULL;NULL;"[""ROLE_STUDENT""]";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"WEBFORCE 3 TOULOUSE";"Developpeur_Web";NULL;NULL;NULL;NULL;NULL;NULL;NULL;"10";"10";"HTML5
CSS3
JAVASCRIPT
JQUERY
PHP
POO
AJAX
";"Bootstrap
Jquery
Angular
React
Symfony
"
"11";"Marc";"ANDREESSEN";NULL;"31400";"TOULOUSE";"06 11 80 70 55";"1988-05-18";NULL;"2019-11-12 10:56:51";"m.andreessen@email.fr";"$argon2id$v=19$m=65536,t=4,p=1$ZVE5d0p6N0EyelRsdTB5Uw$IJ3hjf+7mrtHSgRO53U2xZX4/UiDEJZ7eDI/59mJzos";NULL;NULL;"[""ROLE_STUDENT""]";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"WEBFORCE 3 TOULOUSE";"Developpeur_Web";NULL;NULL;NULL;NULL;NULL;NULL;NULL;"11";"11";"HTML5
CSS3
JAVASCRIPT
JQUERY
PHP
POO
AJAX
";"Bootstrap
Jquery
Angular
React
Symfony
"
